Country;Age;Sex;Asymptomatic;Mild;Hospitalised;Severely hospitalised;Fatal
Germany;0;F;0,2461521986740780000;0,7407930218747870000;0,0128552097428958000;0,0001460266157845040;0,0000535430924543180
Germany;0;M;0,2475425865884410000;0,7702952658171160000;0,0123392490337906000;0,0001898346005198550;0,0000292053231569007
Germany;1;F;0,2461521986740780000;0,7407930218747870000;0,0128552097428958000;0,0001460266157845040;0,0000535430924543180
Germany;1;M;0,2475425865884410000;0,7702952658171160000;0,0123392490337906000;0,0001898346005198550;0,0000292053231569007
Germany;2;F;0,2461521986740780000;0,7407930218747870000;0,0128552097428958000;0,0001460266157845040;0,0000535430924543180
Germany;2;M;0,2475425865884410000;0,7702952658171160000;0,0123392490337906000;0,0001898346005198550;0,0000292053231569007
Germany;3;F;0,2461521986740780000;0,7407930218747870000;0,0128552097428958000;0,0001460266157845040;0,0000535430924543180
Germany;3;M;0,2475425865884410000;0,7702952658171160000;0,0123392490337906000;0,0001898346005198550;0,0000292053231569007
Germany;4;F;0,2461521986740780000;0,7407930218747870000;0,0128552097428958000;0,0001460266157845040;0,0000535430924543180
Germany;4;M;0,2475425865884410000;0,7702952658171160000;0,0123392490337906000;0,0001898346005198550;0,0000292053231569007
Germany;5;F;0,2461521986740780000;0,7407930218747870000;0,0128552097428958000;0,0001460266157845040;0,0000535430924543180
Germany;5;M;0,2475425865884410000;0,7702952658171160000;0,0123392490337906000;0,0001898346005198550;0,0000292053231569007
Germany;6;F;0,2461521986740780000;0,7407930218747870000;0,0128552097428958000;0,0001460266157845040;0,0000535430924543180
Germany;6;M;0,2475425865884410000;0,7702952658171160000;0,0123392490337906000;0,0001898346005198550;0,0000292053231569007
Germany;7;F;0,2461521986740780000;0,7407930218747870000;0,0128552097428958000;0,0001460266157845040;0,0000535430924543180
Germany;7;M;0,2475425865884410000;0,7702952658171160000;0,0123392490337906000;0,0001898346005198550;0,0000292053231569007
Germany;8;F;0,2461521986740780000;0,7407930218747870000;0,0128552097428958000;0,0001460266157845040;0,0000535430924543180
Germany;8;M;0,2475425865884410000;0,7702952658171160000;0,0123392490337906000;0,0001898346005198550;0,0000292053231569007
Germany;9;F;0,2461521986740780000;0,7407930218747870000;0,0128552097428958000;0,0001460266157845040;0,0000535430924543180
Germany;9;M;0,2475425865884410000;0,7702952658171160000;0,0123392490337906000;0,0001898346005198550;0,0000292053231569007
Germany;10;F;0,2471565823138290000;0,7411074800564530000;0,0116076347746021000;0,0001132084015728420;0,0000150944535430456
Germany;10;M;0,2477676234350930000;0,7495452795870160000;0,0094113917840889400;0,0001433973086589330;0,0000301889070860912
Germany;11;F;0,2471565823138290000;0,7411074800564530000;0,0116076347746021000;0,0001132084015728420;0,0000150944535430456
Germany;11;M;0,2477676234350930000;0,7495452795870160000;0,0094113917840889400;0,0001433973086589330;0,0000301889070860912
Germany;12;F;0,2471565823138290000;0,7411074800564530000;0,0116076347746021000;0,0001132084015728420;0,0000150944535430456
Germany;12;M;0,2477676234350930000;0,7495452795870160000;0,0094113917840889400;0,0001433973086589330;0,0000301889070860912
Germany;13;F;0,2471565823138290000;0,7411074800564530000;0,0116076347746021000;0,0001132084015728420;0,0000150944535430456
Germany;13;M;0,2477676234350930000;0,7495452795870160000;0,0094113917840889400;0,0001433973086589330;0,0000301889070860912
Germany;14;F;0,2471565823138290000;0,7411074800564530000;0,0116076347746021000;0,0001132084015728420;0,0000150944535430456
Germany;14;M;0,2477676234350930000;0,7495452795870160000;0,0094113917840889400;0,0001433973086589330;0,0000301889070860912
Germany;15;F;0,2471565823138290000;0,7411074800564530000;0,0116076347746021000;0,0001132084015728420;0,0000150944535430456
Germany;15;M;0,2477676234350930000;0,7495452795870160000;0,0094113917840889400;0,0001433973086589330;0,0000301889070860912
Germany;16;F;0,2471565823138290000;0,7411074800564530000;0,0116076347746021000;0,0001132084015728420;0,0000150944535430456
Germany;16;M;0,2477676234350930000;0,7495452795870160000;0,0094113917840889400;0,0001433973086589330;0,0000301889070860912
Germany;17;F;0,2471565823138290000;0,7411074800564530000;0,0116076347746021000;0,0001132084015728420;0,0000150944535430456
Germany;17;M;0,2477676234350930000;0,7495452795870160000;0,0094113917840889400;0,0001433973086589330;0,0000301889070860912
Germany;18;F;0,2471565823138290000;0,7411074800564530000;0,0116076347746021000;0,0001132084015728420;0,0000150944535430456
Germany;18;M;0,2477676234350930000;0,7495452795870160000;0,0094113917840889400;0,0001433973086589330;0,0000301889070860912
Germany;19;F;0,2471565823138290000;0,7411074800564530000;0,0116076347746021000;0,0001132084015728420;0,0000150944535430456
Germany;19;M;0,2477676234350930000;0,7495452795870160000;0,0094113917840889400;0,0001433973086589330;0,0000301889070860912
Germany;20;F;0,2514011928872070000;0,7285817658669840000;0,0196102778408142000;0,0003168472838908850;0,0000899161211041700
Germany;20;M;0,2544017387029590000;0,7246511468587160000;0,0150159922243964000;0,0005009612461518040;0,0001498602018402830
Germany;21;F;0,2514011928872070000;0,7285817658669840000;0,0196102778408142000;0,0003168472838908850;0,0000899161211041700
Germany;21;M;0,2544017387029590000;0,7246511468587160000;0,0150159922243964000;0,0005009612461518040;0,0001498602018402830
Germany;22;F;0,2514011928872070000;0,7285817658669840000;0,0196102778408142000;0,0003168472838908850;0,0000899161211041700
Germany;22;M;0,2544017387029590000;0,7246511468587160000;0,0150159922243964000;0,0005009612461518040;0,0001498602018402830
Germany;23;F;0,2514011928872070000;0,7285817658669840000;0,0196102778408142000;0,0003168472838908850;0,0000899161211041700
Germany;23;M;0,2544017387029590000;0,7246511468587160000;0,0150159922243964000;0,0005009612461518040;0,0001498602018402830
Germany;24;F;0,2514011928872070000;0,7285817658669840000;0,0196102778408142000;0,0003168472838908850;0,0000899161211041700
Germany;24;M;0,2544017387029590000;0,7246511468587160000;0,0150159922243964000;0,0005009612461518040;0,0001498602018402830
Germany;25;F;0,2514011928872070000;0,7285817658669840000;0,0196102778408142000;0,0003168472838908850;0,0000899161211041700
Germany;25;M;0,2544017387029590000;0,7246511468587160000;0,0150159922243964000;0,0005009612461518040;0,0001498602018402830
Germany;26;F;0,2514011928872070000;0,7285817658669840000;0,0196102778408142000;0,0003168472838908850;0,0000899161211041700
Germany;26;M;0,2544017387029590000;0,7246511468587160000;0,0150159922243964000;0,0005009612461518040;0,0001498602018402830
Germany;27;F;0,2514011928872070000;0,7285817658669840000;0,0196102778408142000;0,0003168472838908850;0,0000899161211041700
Germany;27;M;0,2544017387029590000;0,7246511468587160000;0,0150159922243964000;0,0005009612461518040;0,0001498602018402830
Germany;28;F;0,2514011928872070000;0,7285817658669840000;0,0196102778408142000;0,0003168472838908850;0,0000899161211041700
Germany;28;M;0,2544017387029590000;0,7246511468587160000;0,0150159922243964000;0,0005009612461518040;0,0001498602018402830
Germany;29;F;0,2514011928872070000;0,7285817658669840000;0,0196102778408142000;0,0003168472838908850;0,0000899161211041700
Germany;29;M;0,2544017387029590000;0,7246511468587160000;0,0150159922243964000;0,0005009612461518040;0,0001498602018402830
Germany;30;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;30;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;31;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;31;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;32;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;32;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;33;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;33;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;34;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;34;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;35;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;35;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;36;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;36;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;37;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;37;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;38;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;38;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;39;F;0,2643196655720210000;0,7102134339649040000;0,0244874042914176000;0,0007215038764435540;0,0002579922952131500
Germany;39;M;0,2633078925309920000;0,7043495751872630000;0,0241113477255137000;0,0012812159745331000;0,0004460205781651060
Germany;40;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;40;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;41;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;41;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;42;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;42;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;43;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;43;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;44;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;44;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;45;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;45;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;46;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;46;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;47;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;47;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;48;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;48;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;49;F;0,2544687750572580000;0,7152520898583730000;0,0282900594950672000;0,0012891336224654800;0,0006999419668369270
Germany;49;M;0,2537999381231350000;0,6227800100118280000;0,0354711096738182000;0,0028174879171410500;0,0013821638838805100
Germany;50;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;50;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;51;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;51;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;52;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;52;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;53;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;53;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;54;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;54;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;55;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;55;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;56;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;56;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;57;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;57;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;58;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;58;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;59;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;59;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;60;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;60;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;61;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;61;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;62;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;62;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;63;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;63;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;64;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;64;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;65;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;65;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;66;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;66;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;67;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;67;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;68;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;68;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;69;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;69;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;70;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;70;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;71;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;71;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;72;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;72;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;73;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;73;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;74;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;74;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;75;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;75;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;76;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;76;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;77;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;77;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;78;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;78;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;79;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;79;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;80;F;0,1368846287826860000;0,4470395882729710000;0,2377375240192830000;0,0121416772482611000;0,1661965816767990000
Germany;80;M;0,0000000000000000000;0,1735063096268160000;0,1848782461147760000;0,0155858457596836000;0,1368790102369900000
